,Application mode,Course,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target_Graduate
455,12,3,1,0,44,6,9,6,11,6,15,2,11,1
456,4,4,1,0,32,6,7,0,0,6,6,0,0,0
457,14,16,1,0,22,6,9,5,13,6,8,5,12,0
458,12,4,1,0,36,12,14,12,13,12,18,11,14,1
459,8,15,1,1,18,6,7,6,12,6,8,6,13,1
460,1,8,1,0,20,5,5,5,16,5,5,5,14,1
461,16,5,1,1,20,11,11,11,13,11,11,11,13,1
462,8,10,1,0,19,6,8,5,10,6,11,4,10,1
463,12,9,1,0,24,5,8,5,10,5,6,5,12,1
464,8,10,1,0,20,6,11,5,10,6,11,4,10,0
465,14,3,1,0,27,10,10,9,11,11,11,5,10,0
466,1,16,1,0,20,6,9,5,14,8,8,8,12,0
467,14,10,1,1,23,16,18,16,13,13,15,13,13,1
468,1,12,1,1,18,8,9,8,13,8,9,8,13,1
469,8,10,1,1,18,6,10,5,10,6,9,5,12,1
470,8,12,1,1,20,8,8,7,13,8,8,7,13,1
471,1,11,1,1,20,6,6,6,12,6,7,6,11,1
472,1,14,1,0,23,6,11,6,11,6,9,5,12,0
473,1,12,1,0,20,7,7,6,13,7,7,6,13,1
474,12,11,0,0,28,5,10,0,0,5,10,0,0,0
475,1,14,1,0,21,5,8,4,11,5,5,5,12,1
476,1,13,1,0,21,2,2,2,12,7,0,0,0,0
477,4,12,1,0,28,7,0,0,0,8,0,0,0,0
478,1,12,1,0,18,7,10,6,11,8,11,7,13,1
479,8,10,1,1,21,6,8,5,13,6,7,5,11,0
480,1,12,1,0,19,7,10,6,11,8,8,8,14,1
481,9,12,1,1,18,8,8,7,14,8,8,7,14,1
482,1,12,1,0,19,7,0,0,0,8,0,0,0,0
483,15,6,1,0,20,6,9,6,12,6,12,2,13,0
484,1,12,1,1,20,7,9,6,12,8,10,7,12,1
485,8,16,1,1,18,6,7,6,12,6,7,5,12,1
486,14,14,1,0,20,6,7,6,11,6,10,4,10,0
487,12,14,1,0,31,6,13,5,11,6,14,4,11,0
488,8,12,1,1,19,7,8,7,14,8,8,8,14,1
489,1,12,1,1,19,7,9,6,11,8,8,7,13,1
490,1,5,1,0,23,6,8,6,13,6,8,6,11,1
491,1,14,1,0,19,6,7,6,14,6,6,6,13,1
492,1,12,1,0,20,7,7,6,12,7,7,6,12,1
493,1,6,1,0,22,6,9,5,13,6,17,4,11,0
494,1,16,1,0,18,7,10,6,10,7,12,6,12,0
495,4,8,0,0,27,5,6,2,11,5,5,1,11,0
496,12,13,1,0,29,7,9,1,10,7,0,0,0,0
497,8,11,1,0,18,6,10,5,11,6,10,5,12,1
498,8,5,1,0,18,6,7,5,11,6,6,6,12,1
499,8,12,1,0,18,8,8,8,12,8,8,8,12,1
500,8,6,1,0,20,5,13,3,11,5,8,5,12,0
501,8,11,1,0,18,6,6,6,12,6,7,5,14,1
502,1,5,0,0,18,6,10,5,12,6,11,4,10,0
503,4,6,0,0,28,5,9,1,12,4,10,0,0,0
504,1,12,1,1,18,8,12,7,11,8,12,7,11,1
505,12,12,1,0,27,7,12,4,14,7,14,3,12,0
506,12,1,1,0,26,7,9,7,14,7,12,5,13,0
507,1,15,1,0,18,6,6,6,12,6,6,6,13,1
508,1,8,1,0,18,5,12,4,13,5,6,5,14,0
509,1,9,1,0,21,5,6,0,0,5,5,0,0,0
510,1,5,1,0,18,6,8,4,10,6,9,0,0,0
511,12,3,0,0,32,5,5,0,0,5,10,0,0,0
512,12,14,1,0,28,5,6,4,12,5,7,4,11,1
513,12,17,0,0,40,4,4,0,0,5,0,0,0,0
514,9,3,0,0,39,5,5,0,0,4,4,0,0,0
515,9,10,0,0,39,6,0,0,0,6,0,0,0,0
516,12,4,1,0,50,6,7,6,12,6,15,5,12,1
517,8,16,1,0,23,6,10,5,12,6,9,3,11,0
518,12,3,1,0,48,6,11,1,10,6,11,1,11,0
519,8,16,1,0,23,6,11,4,11,6,10,5,10,0
520,1,12,1,1,18,8,8,7,12,8,8,7,12,1
521,8,8,1,0,18,5,14,2,12,5,6,5,12,1
522,6,10,0,0,20,6,9,5,13,6,7,6,13,1
523,9,6,1,1,18,5,9,4,12,5,8,5,13,1
524,1,13,1,0,18,7,8,4,12,8,8,0,0,0
525,14,7,1,0,31,5,12,1,12,5,9,1,11,0
526,12,7,1,0,24,5,9,1,12,5,6,3,10,0
527,12,2,1,0,24,0,0,0,0,0,0,0,0,1
528,12,9,0,0,26,5,5,0,0,5,9,0,0,0
529,1,8,1,0,18,6,11,5,13,6,9,4,11,0
530,8,9,1,1,19,5,12,3,11,5,10,3,11,0
531,8,14,1,0,22,6,0,0,0,6,0,0,0,0
532,1,12,1,0,18,8,8,7,11,8,8,7,11,1
533,15,5,0,0,20,6,11,0,0,6,12,0,0,0
534,15,2,1,0,25,0,0,0,0,0,0,0,0,1
535,14,17,1,0,24,5,10,4,11,5,11,5,11,1
536,12,7,1,0,27,5,10,1,14,5,0,0,0,0
537,8,11,1,0,21,6,7,5,11,6,7,5,12,1
538,15,4,1,0,21,6,7,6,12,6,6,6,13,1
539,9,15,1,0,19,6,9,4,12,6,6,6,11,0
540,12,12,1,0,28,7,7,7,14,8,11,8,15,1
541,1,9,1,0,20,5,8,5,10,5,10,2,12,0
542,15,4,1,1,21,6,8,6,13,6,10,6,12,1
543,1,12,1,1,18,7,7,7,15,8,9,8,15,1
544,8,7,1,1,18,5,6,5,13,5,8,5,12,0
545,1,9,1,0,20,5,9,4,10,5,6,3,11,0
546,12,7,1,0,25,5,6,5,14,5,5,2,13,0
547,1,14,1,0,22,6,8,6,12,6,11,2,14,0
548,1,12,1,0,18,8,11,6,13,8,11,6,13,0
549,8,9,1,0,19,5,8,5,13,5,8,5,11,1
550,1,7,1,0,19,5,12,3,12,5,10,3,12,0
551,12,15,0,0,25,6,10,4,13,6,9,4,13,0
552,14,5,1,0,21,11,12,9,11,8,11,3,13,0
553,8,7,1,0,19,5,10,2,11,6,10,0,0,0
554,8,9,1,0,20,5,14,0,0,5,5,0,0,0
555,15,4,1,0,25,14,16,14,12,9,13,6,10,0
556,8,9,1,0,20,5,8,3,11,5,11,3,12,0
557,1,2,1,0,18,0,0,0,0,0,0,0,0,1
558,15,11,1,0,23,6,12,3,11,6,12,3,10,0
559,13,12,1,0,23,8,8,8,12,8,8,8,12,1
560,17,4,1,0,21,12,18,11,12,12,14,11,12,1
561,1,8,1,0,20,5,14,2,11,5,9,3,12,0
562,12,17,1,0,25,5,13,1,10,5,8,2,11,0
563,1,8,1,0,18,6,6,6,13,6,9,5,13,1
564,1,5,1,0,22,6,6,6,14,6,8,6,13,1
565,12,14,1,0,27,6,7,6,14,6,7,6,14,1
566,12,4,1,0,25,3,4,0,0,3,5,0,0,0
567,8,7,1,0,18,5,9,3,11,5,10,3,11,0
568,8,6,1,0,20,5,7,5,14,5,5,5,14,1
569,12,4,1,0,27,6,10,5,13,6,13,5,11,1
570,1,3,1,0,20,6,7,6,12,6,9,6,12,1
571,1,9,1,0,22,5,9,0,0,5,5,1,12,0
572,8,7,1,0,19,5,10,3,10,5,11,3,10,0
573,1,9,1,0,20,5,14,3,12,5,8,5,10,0
574,14,2,1,0,19,0,0,0,0,0,0,0,0,1
575,12,6,0,0,29,5,12,0,0,5,8,0,0,0
576,1,12,1,0,19,8,8,7,13,8,8,7,13,1
577,12,17,1,1,28,5,7,5,10,5,6,5,10,0
578,1,10,1,0,20,6,7,6,11,6,6,6,11,1
579,1,5,1,0,20,6,6,4,13,6,8,6,13,1
580,12,3,1,0,31,6,12,0,0,6,0,0,0,0
581,8,12,1,0,18,7,8,7,12,8,9,7,12,1
582,8,14,1,0,19,6,6,6,14,6,8,6,13,0
583,1,9,1,0,18,5,10,4,12,5,9,4,12,1
584,8,11,1,0,19,6,8,5,11,6,8,5,11,1
585,1,9,1,1,18,5,5,5,15,5,5,5,15,1
586,8,6,1,0,19,5,7,3,12,5,7,5,13,1
587,8,15,1,1,18,6,6,6,12,6,7,6,12,1
588,1,11,1,0,19,6,12,6,11,6,14,3,12,1
589,1,13,1,0,19,7,9,7,12,8,8,8,13,1
590,1,14,1,0,18,6,6,6,13,6,11,6,14,1
591,1,12,1,0,19,7,12,4,12,7,11,5,11,0
592,15,14,1,1,20,6,9,6,12,6,7,6,13,1
593,8,14,1,0,20,6,8,5,13,6,10,4,13,0
594,8,4,1,0,20,6,8,6,13,6,8,5,14,0
595,12,17,1,0,29,15,15,11,11,13,16,11,11,0
596,8,16,0,1,20,6,10,4,12,6,14,3,10,0
597,12,16,0,0,31,7,8,6,12,7,9,5,12,0
598,8,14,1,0,20,6,7,6,12,6,9,6,13,1
599,8,4,1,0,21,18,22,18,11,13,13,13,11,1
600,4,8,1,0,23,6,0,0,0,6,0,0,0,0
601,8,5,0,0,21,6,6,4,13,6,8,4,11,0
602,4,12,1,0,24,7,7,7,16,8,9,8,15,1
603,12,3,1,0,27,6,6,6,12,6,6,6,12,1
604,1,12,1,1,18,7,9,7,13,8,8,8,15,1
605,1,2,0,0,21,0,0,0,0,0,0,0,0,0
606,8,8,1,1,19,5,7,0,0,5,5,0,0,0
607,1,12,1,1,19,8,8,7,12,8,8,7,12,1
608,8,6,1,0,18,6,0,0,0,6,0,0,0,0
609,14,12,1,1,18,7,8,5,11,7,8,5,11,0
610,1,16,1,1,20,7,7,7,13,7,8,7,12,1
611,1,3,1,0,24,6,9,5,13,6,6,6,14,1
612,1,5,1,0,20,6,6,6,12,6,10,6,11,1
613,8,9,1,0,20,5,11,4,11,5,7,5,13,0
614,1,12,1,1,19,8,8,7,12,8,8,7,12,1
615,1,12,1,1,18,8,8,7,13,8,8,7,13,1
616,8,10,1,1,20,6,6,6,12,6,6,6,10,1
617,8,12,1,0,20,7,8,7,12,8,10,8,13,1
618,8,12,1,1,19,7,9,6,12,8,9,8,13,1
619,15,6,1,0,19,6,10,5,12,6,19,4,11,0
620,1,15,1,0,20,6,6,6,13,6,6,6,12,1
621,8,9,1,0,19,5,15,2,10,5,11,2,10,0
622,8,16,1,0,19,6,11,4,13,6,10,4,10,0
623,8,12,1,1,18,8,8,8,13,8,8,8,13,1
624,8,5,1,1,23,6,6,6,13,6,8,3,12,0
625,1,16,1,0,21,6,8,5,12,6,9,5,10,0
626,15,3,1,0,23,9,10,9,10,8,10,6,11,1
627,1,12,1,0,19,7,8,7,13,8,9,8,13,1
628,8,15,1,0,18,6,6,6,13,6,6,6,14,1
629,1,15,1,0,19,6,10,5,11,6,10,5,12,1
630,12,12,1,1,25,8,8,7,12,8,8,7,12,1
631,1,16,1,0,19,6,9,5,12,6,10,4,13,0
632,1,12,1,1,19,7,8,7,12,8,8,8,15,1
633,12,13,1,1,24,7,13,7,11,8,13,7,11,1
634,1,14,1,1,18,6,7,6,13,6,9,5,14,1
635,8,10,1,1,19,6,8,6,12,6,7,6,12,1
636,1,12,1,1,18,8,12,7,12,8,12,7,12,1
637,12,17,1,0,27,5,9,3,10,5,7,4,11,0
638,8,10,1,0,19,6,11,5,11,6,13,5,11,1
639,9,15,1,1,18,6,6,6,12,6,6,6,11,0
640,12,14,0,0,34,6,7,4,13,6,6,0,0,0
641,1,9,1,0,18,5,9,3,11,5,15,2,11,0
642,1,9,1,0,18,5,8,2,10,5,7,3,12,0
643,1,12,1,0,18,8,8,8,14,8,8,8,14,0
644,1,15,0,0,20,6,0,0,0,6,0,0,0,0
645,1,9,1,1,19,5,8,2,10,5,11,3,13,0
646,1,10,1,0,21,6,11,5,11,6,15,1,10,0
647,12,17,1,0,26,5,5,5,12,5,6,5,14,1
648,14,13,1,0,27,7,9,7,12,8,10,8,13,1
649,1,14,1,0,20,5,6,4,11,5,5,4,10,1
650,8,10,1,0,18,6,8,6,15,6,7,6,16,1
651,17,6,0,0,23,12,19,9,13,9,15,6,13,0
652,12,12,1,0,24,8,11,7,12,8,11,7,12,1
653,15,10,1,1,19,6,7,5,12,6,6,6,11,1
654,1,15,1,0,19,6,13,4,11,6,10,4,11,1
655,1,10,1,1,19,6,9,5,11,6,9,3,10,0
656,1,10,1,0,18,6,10,5,10,6,14,2,10,0
657,16,3,1,0,22,16,16,13,10,13,13,11,11,1
658,14,5,1,0,20,6,6,5,12,6,9,5,12,1
659,12,4,1,0,25,6,6,0,0,6,6,0,0,0
660,15,4,1,0,21,6,6,6,15,6,8,6,15,1
661,1,12,1,0,19,7,12,5,11,7,9,6,11,0
662,8,15,1,0,18,6,7,6,12,6,6,6,13,1
663,1,14,1,0,18,5,7,3,12,5,7,4,13,1
664,8,12,1,0,19,7,8,7,13,8,9,8,14,1
665,1,6,1,1,19,5,6,5,15,5,5,5,16,1
666,8,15,0,0,18,6,9,5,12,6,9,4,11,0
667,16,10,1,1,20,11,11,11,12,11,11,11,13,1
668,8,12,1,0,19,7,0,0,0,8,0,0,0,0
669,13,12,1,0,28,17,21,17,13,17,19,17,13,1
670,1,10,1,1,20,6,8,6,14,6,8,6,11,1
671,13,3,1,0,30,11,19,9,13,7,7,7,14,0
672,1,12,1,1,19,7,8,7,12,8,10,8,11,1
673,1,5,1,0,22,6,7,6,11,6,7,5,13,1
674,1,11,1,0,18,6,8,6,12,6,6,6,13,1
675,8,16,1,0,23,6,11,2,10,6,15,2,11,0
676,8,5,1,0,18,6,6,6,14,6,6,6,15,1
677,1,16,1,0,18,6,9,5,11,6,6,4,12,0
678,12,15,0,0,50,6,7,1,15,5,12,0,0,0
679,1,2,1,1,19,0,0,0,0,0,0,0,0,1
680,8,11,1,0,22,6,7,6,10,6,6,6,10,1
681,15,10,1,1,23,6,7,6,13,6,6,6,14,1
682,9,6,0,1,20,5,8,5,14,5,6,5,14,0
683,12,10,0,0,44,6,0,0,0,6,0,0,0,0
684,12,4,1,0,49,12,17,7,12,12,19,9,11,1
685,14,17,1,0,46,10,13,9,12,10,12,10,12,1
686,12,6,0,0,41,3,3,3,12,2,2,2,11,0
687,8,12,1,0,18,7,8,7,11,8,9,8,12,1
688,12,17,1,0,43,5,5,5,11,5,6,5,14,1
689,12,9,0,0,70,5,5,0,0,5,9,0,0,0
690,12,8,1,0,48,6,0,0,0,6,0,0,0,0
691,14,4,1,0,41,19,19,19,12,13,13,13,12,1
692,1,11,1,0,21,6,8,6,12,6,10,4,13,0
693,12,1,0,0,35,7,18,3,11,7,7,0,0,0
694,12,8,1,0,44,5,13,4,14,5,9,4,15,1
695,1,9,1,0,18,5,15,4,13,5,6,2,13,0
696,1,3,1,0,45,6,7,6,13,6,6,6,13,1
697,1,11,1,0,20,6,12,3,10,6,9,5,10,0
698,15,4,1,0,22,6,12,5,12,6,11,6,11,1
699,14,7,1,0,39,5,10,3,17,5,11,1,17,0
700,15,6,0,0,20,6,10,5,13,6,21,3,12,0
701,12,9,1,0,49,5,9,3,14,5,8,3,13,0
702,4,13,1,0,43,4,4,4,13,1,1,1,12,0
703,12,17,1,0,32,5,5,0,0,5,5,0,0,0
704,12,10,1,0,47,9,9,9,13,7,7,7,14,1
705,12,17,1,1,37,5,8,5,13,5,11,4,13,0
706,12,3,1,0,41,10,10,10,12,7,7,7,12,1
707,12,4,1,0,60,18,18,18,14,13,13,13,14,1
708,12,11,1,0,47,11,11,11,14,9,9,9,15,1
709,12,3,0,0,50,6,6,0,0,5,6,0,0,0
710,12,17,1,0,45,5,5,0,0,5,5,0,0,0
711,12,7,0,0,45,5,5,0,0,5,5,0,0,0
712,12,6,1,0,33,5,7,4,13,5,6,5,11,1
713,1,12,1,0,18,8,8,7,13,8,8,7,13,1
714,12,6,1,0,43,5,8,5,13,5,5,5,14,1
715,14,3,1,0,44,13,18,13,11,11,11,11,12,1
716,12,8,1,0,29,5,5,0,0,5,5,0,0,0
717,12,14,0,0,53,6,11,3,14,6,6,0,0,0
718,13,17,1,0,37,5,10,5,15,5,5,5,17,0
719,14,14,1,0,18,6,16,5,13,6,7,5,12,0
720,14,1,1,0,35,10,18,6,12,9,11,3,12,0
721,1,11,1,0,23,6,10,6,13,6,9,6,12,0
722,1,2,1,0,22,0,0,0,0,0,0,0,0,1
723,12,3,0,0,33,6,6,1,11,6,0,0,0,0
724,4,8,0,0,41,5,9,0,0,5,9,0,0,0
725,4,12,1,0,51,7,7,7,15,8,8,8,16,1
726,16,14,1,0,19,6,7,6,14,7,8,7,14,1
727,12,17,1,0,35,5,5,0,0,5,5,0,0,0
728,1,2,1,0,20,0,0,0,0,0,0,0,0,1
729,14,14,1,0,18,6,13,4,13,6,8,5,11,0
730,1,15,0,1,18,6,11,5,12,6,15,3,12,0
731,15,4,1,0,21,6,12,5,12,6,11,5,11,1
732,1,11,1,0,21,6,9,6,12,6,8,5,11,1
733,12,9,1,0,34,5,10,3,11,5,7,4,12,1
734,12,8,1,0,34,6,9,0,0,6,6,0,0,0
735,8,14,1,0,21,6,10,6,11,6,8,5,12,1
736,14,15,1,0,32,11,15,7,11,7,10,6,12,0
737,8,11,1,0,30,6,17,2,10,6,15,3,11,0
738,1,2,1,0,19,12,13,11,12,11,15,10,11,0
739,16,15,1,0,20,7,7,6,13,6,7,5,13,0
740,1,5,1,0,18,6,0,0,0,6,0,0,0,0
741,1,11,1,0,19,6,7,6,14,6,6,6,12,1
742,8,12,1,0,18,7,8,5,14,7,9,6,12,0
743,12,17,1,0,27,5,8,4,11,5,9,3,10,0
744,12,15,1,0,52,6,7,5,13,6,6,6,15,1
745,14,4,0,0,29,6,6,0,0,6,8,0,0,0
746,16,4,0,0,22,6,12,3,11,6,13,2,11,0
747,14,6,1,0,28,18,45,18,12,13,26,12,11,1
748,12,14,1,0,30,5,5,0,0,5,5,0,0,0
749,1,12,1,0,18,7,7,7,13,8,9,8,13,1
750,1,14,1,0,21,5,5,4,11,5,5,3,13,1
751,1,5,1,1,20,6,9,6,13,6,10,6,14,1
752,13,12,1,1,21,8,8,8,13,8,8,8,13,1
753,12,17,0,0,32,5,5,0,0,5,6,0,0,0
754,1,5,1,1,20,6,6,6,15,6,7,6,12,1
755,1,2,0,0,19,0,0,0,0,0,0,0,0,0
756,6,14,0,0,18,6,6,4,11,6,7,3,12,0
757,14,17,0,0,23,15,24,12,11,14,21,11,11,0
758,1,11,1,0,20,6,10,6,12,6,9,4,13,1
759,14,9,1,0,46,9,18,8,11,5,11,5,11,1
760,8,4,1,0,27,18,19,18,12,12,15,12,12,1
761,3,2,1,0,20,0,0,0,0,0,0,0,0,0
762,14,3,1,0,41,9,11,9,12,7,8,6,12,1
763,6,9,1,0,40,5,10,1,11,5,10,1,10,0
764,15,3,1,0,37,16,17,16,14,11,14,10,13,1
765,1,9,1,0,20,5,8,5,10,5,7,5,11,0
766,15,8,1,0,20,5,7,4,12,5,6,4,12,0
767,4,17,1,0,26,9,11,9,12,7,7,7,12,1
768,12,3,1,0,54,9,9,9,14,7,7,7,13,1
769,8,14,1,0,21,6,6,6,15,6,9,6,14,1
770,1,6,1,1,20,6,8,6,15,6,8,6,15,1
771,8,15,1,0,18,6,0,0,0,6,0,0,0,0
772,1,12,1,0,19,7,9,6,13,8,12,7,13,0
773,1,10,1,0,18,6,7,6,12,6,7,6,12,1
774,1,6,1,0,19,6,13,4,11,6,18,4,12,0
775,15,6,1,0,22,6,9,6,12,6,12,3,12,0
776,14,6,1,0,19,6,7,6,15,6,8,6,15,1
777,1,2,1,0,21,12,12,8,13,11,13,9,12,0
778,8,16,1,0,20,7,9,6,11,7,7,6,14,0
779,8,15,1,1,18,6,6,6,12,6,6,6,13,1
780,8,15,1,1,18,6,6,6,15,6,6,6,15,1
781,8,14,1,0,20,6,10,2,11,6,10,4,10,0
782,1,12,1,1,18,7,10,7,14,8,8,8,14,1
783,1,12,1,0,18,8,9,6,13,8,9,6,13,0
784,1,15,1,1,20,6,7,5,12,6,6,6,12,1
785,1,10,1,0,19,6,10,6,10,6,7,6,12,1
786,1,5,1,0,18,6,6,6,13,6,6,5,14,1
787,1,12,1,0,18,8,8,7,14,8,8,7,14,1
788,3,6,1,1,18,5,5,5,14,5,5,5,14,0
789,8,2,1,1,20,0,0,0,0,0,0,0,0,1
790,8,15,1,1,19,6,6,6,13,6,6,6,13,1
791,12,12,0,0,36,6,15,2,11,7,9,0,0,0
792,8,10,1,1,19,6,7,6,11,6,7,6,12,1
793,8,10,1,0,18,6,6,6,12,6,6,5,13,1
794,1,15,1,1,18,6,6,6,13,6,6,6,12,1
795,1,15,1,1,18,6,6,6,14,6,6,6,14,1
796,15,5,1,0,19,7,7,7,13,9,9,9,13,1
797,9,12,1,0,18,7,8,7,13,8,8,8,12,1
798,1,8,1,1,19,6,8,6,13,6,7,6,13,1
799,1,16,1,0,18,6,7,6,12,6,10,4,12,0
800,17,5,0,1,22,6,8,6,11,6,10,4,12,0
801,1,10,0,0,18,6,0,0,0,6,0,0,0,0
802,8,9,1,0,19,5,7,5,13,5,6,5,12,1
803,1,15,1,0,18,6,6,6,15,6,6,6,14,1
804,1,16,1,0,19,7,7,7,13,7,7,7,14,1
805,8,9,1,0,20,5,10,2,11,5,8,3,10,0
806,8,5,1,1,18,6,6,6,13,6,6,6,12,1
807,1,8,0,0,23,6,10,6,14,6,11,4,13,0
808,1,15,1,0,20,4,4,0,0,6,0,0,0,0
809,1,5,1,0,20,6,6,6,11,6,9,6,11,0
810,1,10,0,1,22,6,0,0,0,6,0,0,0,0
811,8,16,1,1,18,7,8,7,12,7,9,6,13,1
812,8,12,1,1,18,7,7,7,14,8,9,8,13,1
813,1,12,1,0,18,7,7,7,14,8,9,8,14,1
814,1,16,1,0,18,7,7,7,15,7,7,7,15,1
815,16,9,1,0,21,5,9,5,12,5,11,3,12,0
816,8,5,1,0,20,6,6,6,12,6,8,6,11,0
817,7,5,1,0,18,6,6,6,14,6,6,6,12,1
818,8,12,0,1,20,7,7,7,13,8,10,7,13,0
819,1,3,1,0,25,6,6,6,12,6,6,6,12,1
820,1,9,1,1,18,5,10,5,12,5,8,4,11,1
821,1,2,1,0,19,0,0,0,0,0,0,0,0,1
822,1,6,1,0,20,7,9,6,14,7,16,6,13,0
823,1,10,1,1,20,6,7,6,12,6,7,6,13,1
824,9,15,1,1,21,6,6,6,12,6,6,6,11,1
825,8,14,1,0,18,6,8,6,14,6,9,5,14,1
826,8,16,1,0,18,7,8,7,11,7,9,6,13,0
827,1,5,1,1,18,6,6,6,15,6,6,6,15,1
828,1,12,1,0,18,8,8,8,14,8,8,8,14,1
829,14,14,1,0,19,6,0,0,0,6,0,0,0,0
830,8,11,1,0,20,6,8,6,11,6,10,6,11,0
831,12,10,1,0,47,6,12,0,0,5,10,0,0,0
832,14,8,1,0,21,5,9,5,13,5,7,2,12,0
833,12,8,1,0,31,6,11,2,12,6,12,1,10,0
834,12,7,1,0,46,5,6,0,0,5,5,0,0,0
835,1,7,1,0,18,5,9,4,12,5,10,2,11,0
836,8,7,1,0,19,5,10,3,13,5,9,4,10,0
837,16,13,1,0,23,7,11,5,12,7,13,2,13,0
838,15,8,0,0,22,5,5,0,0,5,5,0,0,0
839,1,9,1,0,19,5,5,5,13,5,7,5,12,1
840,1,9,0,0,19,5,14,0,0,5,5,0,0,0
841,8,9,0,0,22,5,10,4,11,5,11,4,14,0
842,12,8,0,0,29,5,11,0,0,5,6,0,0,0
843,1,12,1,0,18,7,7,6,14,7,7,6,14,1
844,1,10,1,0,18,6,9,5,11,6,8,5,10,1
845,1,2,0,1,23,0,0,0,0,0,0,0,0,0
846,12,17,1,0,34,5,12,5,10,5,11,5,12,1
847,8,9,1,0,19,5,11,3,10,5,9,4,10,1
848,1,6,1,0,18,5,9,4,14,5,8,5,12,0
849,8,12,1,1,20,7,7,7,13,8,8,8,14,1
850,1,12,1,0,19,7,9,7,13,8,11,7,12,1
851,3,16,1,0,22,6,10,5,12,6,9,4,11,0
852,1,10,1,1,23,6,7,6,13,6,6,6,14,1
853,12,12,1,1,34,8,8,7,13,8,8,7,13,1
854,8,7,0,0,18,5,12,0,0,5,8,0,0,0
855,1,15,1,0,21,6,6,5,11,6,9,0,0,0
856,1,10,1,0,22,6,6,6,12,6,6,6,13,0
857,12,4,1,0,28,6,6,0,0,6,6,0,0,0
858,3,7,1,0,23,5,7,0,0,5,5,0,0,0
859,1,15,1,0,20,6,11,4,10,6,13,2,10,0
860,9,7,1,0,18,5,7,5,12,5,9,3,13,0
861,12,9,0,0,28,5,5,0,0,5,5,0,0,0
862,15,5,1,0,21,7,7,2,12,9,10,7,12,0
863,12,14,0,0,25,6,7,3,14,6,9,2,14,0
864,15,6,0,0,19,6,6,6,14,6,11,6,13,0
865,1,12,1,1,18,7,7,7,14,8,9,8,15,1
866,12,7,1,0,29,3,3,0,0,5,0,0,0,0
867,12,7,1,1,29,5,6,0,0,5,7,0,0,0
868,9,11,1,0,20,6,7,6,13,6,7,5,12,1
869,1,2,1,0,18,0,0,0,0,0,0,0,0,1
870,1,11,1,0,20,6,8,6,13,6,7,6,12,1
871,12,7,1,0,33,5,14,1,18,5,9,2,13,0
872,13,17,1,0,30,15,15,13,11,11,15,10,11,1
873,1,13,1,1,21,7,14,5,11,8,11,6,11,0
874,1,4,1,0,18,6,6,5,15,6,8,4,14,1
875,1,12,1,1,19,7,9,7,14,8,12,8,12,1
876,8,5,1,1,21,6,8,4,11,6,7,5,11,0
877,12,13,1,1,25,7,7,2,10,7,7,0,0,0
878,1,14,1,0,19,5,7,3,12,5,5,5,11,1
879,15,5,1,0,23,7,8,5,12,9,10,7,12,0
880,8,5,1,1,19,6,6,6,13,6,7,5,13,1
881,1,2,1,0,19,0,0,0,0,0,0,0,0,1
882,12,4,0,0,31,6,15,1,11,6,10,0,0,0
883,12,4,0,0,32,6,8,3,13,10,14,6,11,0
884,7,12,1,1,19,8,12,7,12,8,12,7,12,1
885,13,15,1,0,34,10,11,10,12,10,12,9,12,1
886,7,15,1,0,21,6,6,6,13,6,6,6,13,1
887,14,10,1,1,53,7,16,6,11,7,9,7,11,1
888,1,12,1,1,19,7,7,7,14,8,8,8,15,1
889,1,15,1,1,20,6,9,4,13,6,13,4,11,1
890,1,15,1,0,18,6,6,6,14,6,6,6,14,1
891,12,2,0,0,32,0,0,0,0,0,0,0,0,0
892,14,12,1,1,21,8,8,7,14,8,8,7,14,1
893,4,3,0,0,26,5,9,0,0,5,10,0,0,0
894,13,6,1,0,26,18,45,18,11,13,27,13,12,1
895,15,17,0,0,21,5,12,3,11,5,10,1,13,0
896,8,15,1,0,18,6,9,6,12,6,9,6,13,1
897,14,5,1,1,21,12,12,12,13,12,12,11,12,1
898,1,11,1,0,21,6,10,6,10,6,10,4,11,0
899,8,14,1,1,19,6,6,6,13,6,6,6,14,1
900,8,9,1,0,19,5,7,2,10,5,11,2,14,0
901,14,10,1,1,19,6,8,6,11,6,11,5,11,1
902,4,12,1,0,27,8,8,8,12,8,8,8,12,1
903,1,12,1,1,18,7,7,6,12,7,7,6,12,1
904,1,9,1,0,20,5,12,1,10,5,5,0,0,0
905,1,12,1,1,19,7,7,7,13,8,8,8,12,1
906,1,14,1,0,20,6,7,0,0,6,6,0,0,0
907,8,10,1,1,19,6,12,5,11,6,11,6,11,1
908,8,10,1,0,20,6,8,4,11,6,15,3,10,0
909,1,2,1,0,20,0,0,0,0,0,0,0,0,0
910,1,16,1,0,18,6,6,6,13,6,6,6,13,1
911,1,6,1,0,20,5,7,4,12,5,5,5,13,1
912,12,17,0,0,38,5,6,5,10,5,9,2,11,0
913,12,3,1,0,42,6,8,5,11,6,6,6,12,1
914,12,12,1,0,32,7,0,0,0,8,0,0,0,0
915,6,15,1,0,22,6,6,6,13,6,6,6,13,1
