Application mode,Application order,Course,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,units_approved_rate_1st,units_approved_rate_2nd,Target_Graduate
1,2,15,14,6,5,1,0,1,1,0,19,6,14,2,12,0,0,6,12,2,10,0,0.3746581229219227,0.6207894537764554,0
16,1,12,14,6,4,1,1,1,0,0,19,7,8,11,13,0,0,8,8,7,16,2,0.9984859786426341,1.002046410130672,1
12,1,12,27,5,8,0,0,1,1,0,28,7,8,6,12,0,0,7,7,4,13,0,0.8342360591323571,0.8607239687082491,0
1,1,5,24,1,12,1,0,1,1,0,19,5,5,0,0,0,0,5,0,0,0,0,-0.021135330438755005,-0.0018242824874037727,0
8,1,11,1,2,5,1,0,1,0,0,19,6,9,5,13,0,0,6,10,5,14,3,1.001681150066146,0.9947018430839423,1
1,3,9,27,10,10,1,0,1,1,0,20,5,8,4,10,0,0,5,8,5,12,-3,0.8536085263569149,0.28911611564424483,1
1,1,5,28,6,6,1,0,1,1,0,19,6,7,0,13,0,0,6,13,3,10,1,0.44007666761552544,0.3914951394354875,0
1,4,12,28,10,8,1,0,1,0,0,18,8,10,7,13,0,0,8,10,7,14,0,0.8444895179752984,0.8437367056797402,1
14,1,10,27,5,8,1,0,1,0,0,19,6,0,6,12,0,0,6,6,0,10,0,0.8496848705326153,0.8486755465458923,1
1,1,4,14,10,10,0,0,1,0,1,20,6,6,5,12,0,0,6,6,5,11,0,0.8759712431822314,0.9956011037837167,1
1,9,11,1,10,10,1,0,1,1,1,18,6,0,0,0,0,0,0,0,0,0,0,-0.016940400022023766,0.012039613238267917,1
1,2,2,14,10,10,1,0,1,0,0,18,6,0,0,0,0,0,6,0,0,0,-3,0.002881782079536834,-0.011918119038705495,1
12,1,12,27,10,10,0,0,1,0,0,32,8,22,7,12,0,11,8,11,7,11,-4,0.8987451861002161,0.8968039148839088,1
14,1,3,28,10,10,1,0,0,1,1,21,6,6,2,13,0,0,6,10,0,11,-3,0.4777165404689426,0.49219633173313987,0
16,1,6,14,6,9,1,0,1,0,0,18,6,8,5,11,0,0,6,12,5,12,-3,0.869992147593021,0.8336339012721985,1
4,1,6,1,2,8,0,1,1,1,0,26,7,7,5,14,0,0,5,7,8,14,0,0.9962057524964026,1.0076213373523337,0
1,1,6,14,10,11,1,0,1,0,0,19,8,9,5,12,0,0,8,12,5,11,-4,0.9979185101654162,0.8555126957879662,1
14,1,8,24,1,1,0,0,1,1,0,30,5,5,0,0,0,0,5,5,0,0,0,-0.011398207651816072,-0.012520792372477194,0
4,1,6,1,5,7,0,0,1,1,0,23,11,22,15,11,0,4,10,20,12,11,-4,0.5308669216744842,0.37486080595215787,0
1,5,2,1,6,9,1,0,1,0,0,18,6,0,2,12,0,0,6,0,0,12,0,0.41687755147029726,0.014118035554602715,0
8,2,8,28,5,4,1,0,1,0,0,18,6,8,6,11,0,0,6,8,5,13,0,0.9893286139897891,0.8296953512054415,1
8,3,6,14,32,10,1,0,1,1,0,19,6,9,5,11,0,0,6,6,5,11,1,0.8519270089106743,0.9890308224371042,1
14,1,14,24,16,41,0,0,1,1,0,35,14,17,3,10,5,9,10,15,5,12,0,0.8361931425319702,0.831694525360307,1
12,1,3,27,10,10,0,1,0,0,0,37,6,6,0,0,0,0,6,6,0,0,1,-0.0047359315857246,0.02857105868843658,0
14,1,9,24,1,7,0,0,1,1,0,43,6,14,2,10,0,1,6,14,2,10,0,0.23193075689362702,0.6415131150879162,0
1,2,11,1,10,10,1,0,1,0,0,18,5,12,5,11,0,0,5,10,5,11,3,0.6510728559151386,0.26770890754739407,1
1,3,9,1,4,6,1,1,1,0,0,18,5,7,3,12,0,0,5,11,4,13,0,0.81829054669888,0.31930484027332273,0
8,1,17,27,10,10,0,0,1,0,0,46,5,7,4,11,0,0,5,6,5,11,-1,0.8336705543365642,0.8149066916469745,0
15,1,3,30,10,4,0,0,0,0,1,31,5,6,0,0,0,0,5,5,0,0,-3,-0.02373915939493983,-0.010437858740148877,1
12,1,3,27,10,9,0,0,0,0,0,23,3,6,0,0,0,0,5,5,0,0,0,-0.006496596455505174,0.018468509764375533,0
16,1,9,3,5,4,0,1,1,1,0,23,6,10,6,14,0,2,7,9,4,13,3,1.0051589580196443,0.9909822390218416,1
8,4,14,1,11,10,1,0,1,1,0,19,6,9,4,13,0,0,5,9,5,13,3,0.9918321940017365,0.8188066597299464,0
8,1,5,14,15,10,1,0,1,0,1,20,6,15,6,13,0,0,6,9,6,12,0,0.9992345178534527,0.997020369809122,1
12,1,12,3,2,4,0,0,1,1,0,28,7,10,3,10,1,0,7,8,3,13,0,0.48997310953452217,0.43149995054458895,0
8,2,11,14,6,1,1,0,1,0,0,31,6,6,6,13,0,0,6,6,6,14,2,1.006715651749699,1.0110787429630477,1
8,4,6,27,10,10,1,0,1,0,1,20,6,8,5,11,0,0,7,8,5,11,0,1.00328564848843,0.9952718717155867,1
15,1,12,14,6,10,0,0,1,0,0,23,8,12,10,12,3,4,8,11,7,11,0,0.8441779741061721,0.6650800459943429,0
14,1,17,27,1,1,0,0,1,0,0,38,6,0,0,0,1,0,6,9,0,0,0,0.012034050306981656,-0.014395605042154758,0
6,1,6,24,1,1,0,1,0,0,0,33,6,12,0,10,0,0,6,6,0,0,-4,0.2063844925315321,-0.01799183172822555,0
14,1,9,14,10,12,0,0,1,0,0,36,10,19,19,13,0,0,11,11,5,12,0,1.0006245303753747,0.8297117931331425,1
1,5,12,14,8,10,0,0,1,0,1,20,7,7,5,12,0,0,7,7,7,11,-3,0.8890668935003004,0.8305886990508016,1
1,4,13,14,8,6,1,0,1,1,0,23,5,6,0,0,0,0,5,6,0,0,0,0.005392324813192326,-0.007760257466699232,0
1,2,2,28,10,2,1,0,1,0,0,20,6,6,6,11,0,0,6,7,6,13,0,0.8583892531008903,0.8577613707067663,1
14,1,9,14,10,8,1,0,1,1,0,25,5,13,10,11,0,0,5,7,5,13,3,0.8311040648844193,0.9888898192360833,1
1,4,12,28,4,9,1,0,1,0,0,27,7,10,7,13,3,0,8,12,7,11,0,0.8773971234453806,0.6771753559327243,0
1,4,2,14,10,10,1,0,1,0,1,19,6,6,0,0,0,0,6,1,0,0,0,0.0024540014692504978,0.00147261170786655,1
14,1,9,14,10,10,0,0,1,1,0,19,5,14,3,10,0,0,5,10,5,11,0,0.8364541927105819,0.8438823763848394,0
1,1,6,1,6,3,0,0,1,0,0,18,10,6,6,13,0,0,10,14,5,11,3,1.0009856766402223,0.9792966417129209,1
8,1,12,1,4,2,1,0,1,1,0,19,7,10,7,14,0,0,8,8,8,14,2,0.9973447695672005,1.0084529221024563,1
1,5,11,27,3,5,0,0,1,1,0,18,5,8,3,10,0,0,5,10,2,10,0,0.4129681146551256,0.36217397678210944,0
1,1,9,28,4,4,1,1,1,1,0,19,5,10,5,11,0,0,5,6,5,13,-3,0.8528166072833312,0.9931651870742717,1
9,1,9,10,10,9,1,0,1,0,0,21,6,6,6,13,0,0,6,8,6,13,3,0.8267611258288904,0.993805947916987,1
1,4,12,1,4,6,0,0,1,0,1,19,7,9,7,13,0,0,7,7,5,16,2,1.0015983333616814,1.0053760730312937,1
1,5,12,3,3,2,1,0,1,0,0,19,8,8,7,13,2,0,8,10,8,12,0,0.8638623383749672,0.835501954781977,1
8,1,9,27,10,10,0,1,1,0,0,19,5,6,3,13,0,0,5,5,0,0,0,-0.01698696826261646,-0.02230576412390079,1
1,1,8,28,5,9,1,0,1,1,0,19,6,9,6,12,0,0,6,12,5,12,3,0.9922508400128273,0.8363681671291853,0
12,1,6,1,3,8,0,0,1,0,0,30,6,7,2,13,0,0,6,6,5,13,0,0.8247204361107227,0.8258274674585855,0
14,1,2,14,1,1,1,0,1,1,0,18,0,1,0,0,0,0,0,0,0,0,0,-0.005398703899844237,-0.019702161414949192,0
12,1,7,24,10,8,0,0,0,1,0,31,6,10,0,0,0,0,7,0,0,0,0,-0.009106924449491483,0.007784225174724427,0
1,3,11,1,4,4,1,1,1,1,0,19,5,9,2,13,0,0,5,11,5,13,0,0.9989148877366517,0.9900861385692794,1
9,1,10,14,4,4,1,0,1,0,1,19,6,9,6,13,0,0,6,12,5,13,0,1.0060283002499537,1.0111302592901763,1
13,1,12,27,10,21,1,0,1,1,0,20,7,13,9,13,0,0,7,12,8,13,0,0.8428237773459732,0.8521162985062961,1
1,4,12,1,4,5,1,0,1,1,0,19,7,8,7,12,0,4,8,12,7,12,3,0.46089354975449354,0.8523643058676266,0
1,6,11,14,6,5,1,0,1,0,0,20,6,0,0,0,0,0,6,6,0,0,0,0.40685454441136837,-0.020485608079817915,0
8,1,17,28,10,8,0,0,1,0,0,19,5,6,6,12,0,0,6,6,5,13,0,1.0079379380370306,0.9852675059706291,1
12,1,14,27,10,7,0,0,1,0,0,30,10,8,5,15,0,0,7,8,5,14,0,0.8286379584521771,0.8750284458081007,1
17,2,16,27,4,7,0,0,0,0,0,25,10,14,10,11,0,5,6,15,5,11,-4,0.6521905683794983,0.8367718523911863,0
13,1,6,3,12,8,1,0,1,1,0,21,5,12,5,10,2,0,5,11,3,10,3,0.22961661160700092,0.29395967975351023,1
12,1,3,27,6,11,0,0,1,1,0,39,6,9,4,10,0,0,6,7,0,0,0,0.6355841532614119,0.3830018355806865,0
1,1,10,28,10,10,1,1,1,1,0,18,8,10,5,11,0,0,6,7,4,13,1,0.8639556977794716,0.3904589185854984,0
1,3,9,14,10,8,1,1,1,0,0,18,6,6,5,13,0,0,6,10,6,11,0,1.0024845548723058,1.0088953858742493,1
1,2,2,14,10,8,1,0,1,0,1,18,0,0,0,0,0,0,0,0,0,0,1,0.02012177526429485,0.012211346936872265,1
12,1,3,14,10,10,0,0,1,0,1,19,7,12,6,14,0,0,6,8,3,12,1,0.9978549325609923,0.8350222095518344,1
12,1,17,24,10,12,0,1,0,1,0,29,5,14,0,0,3,0,5,5,0,0,0,0.016137060616494406,-0.007989101272960514,0
14,1,4,1,5,7,0,0,1,0,0,43,6,6,6,13,0,0,6,6,0,13,0,-0.01741391113375646,0.012471858821367619,0
14,1,6,3,5,7,0,1,1,0,0,22,15,13,9,13,2,4,8,12,2,13,1,0.9979426873119407,0.32527486029241426,0
17,3,6,3,4,9,0,0,1,1,0,23,8,8,7,13,0,4,8,11,7,13,0,0.8620543645479743,0.8606173675176395,1
12,1,12,1,10,8,0,0,1,1,0,23,7,11,4,12,0,0,6,8,0,12,0,0.5613485629901526,0.8691894280419614,0
7,3,8,14,10,4,1,1,1,1,0,19,7,7,6,15,0,0,6,7,6,13,-4,0.9956117430431175,1.0041139069007603,1
8,4,12,14,8,11,1,0,1,0,0,18,6,7,6,13,0,0,8,9,6,14,0,1.0016904768995547,0.9968567472039099,1
1,3,12,27,10,10,1,0,1,1,0,20,8,9,5,12,0,0,8,9,5,13,0,0.8686764216119987,1.0010107507668544,1
8,1,16,14,6,10,1,0,1,0,1,20,6,11,5,11,0,0,6,10,5,12,3,0.8757172600401181,1.003111913992766,1
1,3,3,14,10,10,1,0,0,0,0,34,6,8,6,13,0,0,6,6,6,13,-4,0.9966508185918558,0.6259461816303987,1
12,1,3,27,10,10,0,0,1,0,1,39,6,6,5,13,0,0,6,6,0,0,-1,0.01442777415352798,-0.01869607458287297,1
8,1,10,28,10,8,1,1,1,0,1,20,6,6,5,12,0,0,6,9,5,13,3,0.9924132863853977,1.0029641693658986,1
8,4,12,3,6,11,0,0,1,1,0,18,7,9,6,13,0,0,8,7,8,14,1,1.0059275914025645,0.807462775619482,1
1,1,12,14,10,9,1,1,1,0,0,20,7,8,4,14,0,0,8,14,7,12,1,0.6720281918653798,0.8441318432313432,0
1,1,5,14,4,4,0,0,1,0,0,33,6,9,6,13,0,0,6,9,6,13,0,0.9957472540272351,0.9881845377026802,1
8,2,10,28,10,8,1,0,1,0,0,20,6,11,5,11,0,0,6,15,5,11,1,0.855810537579673,0.8300240706600855,1
4,1,17,14,6,10,0,0,1,1,0,35,14,21,12,15,0,10,12,14,14,11,1,0.8574827972434432,0.9997545390730536,1
8,2,7,28,4,11,0,1,1,0,0,19,5,8,2,10,0,0,5,5,5,13,0,0.42162628177282707,0.6044343841233619,0
16,1,14,28,10,10,1,1,1,0,1,18,6,15,6,13,0,0,6,7,6,14,2,1.001229253461405,0.9971321766004462,1
1,3,5,14,6,9,1,0,1,0,0,18,6,6,6,13,0,0,6,6,6,13,1,1.003289256982108,0.9950310256532997,1
14,1,9,24,1,1,0,0,1,1,0,25,5,5,2,10,2,1,5,11,2,11,-3,0.451104773653557,0.21728134871729404,0
15,1,8,7,5,8,1,0,1,0,0,22,6,14,2,10,0,1,6,9,2,0,0,0.4812951915024347,0.3428697561027361,0
14,1,3,24,1,4,0,0,1,1,0,25,6,9,3,10,0,1,6,13,2,13,0,0.5408705275295551,0.525392186498914,0
1,3,10,14,6,5,0,0,1,0,0,18,6,7,6,13,0,0,6,7,6,13,0,1.0026743812963954,0.9834013976424765,1
8,1,15,14,3,11,0,1,1,1,0,19,6,10,0,0,0,0,6,12,0,0,0,-0.018233979045011596,0.006800521826558506,0
8,1,15,1,8,10,0,0,1,0,0,18,6,6,6,15,0,0,6,6,6,15,0,0.9985067729543085,0.9891494391467625,1
9,2,3,28,4,11,0,0,1,0,0,43,6,6,6,13,0,0,6,6,6,13,0,0.9978538930800255,1.0001831593014254,1
12,1,17,27,10,10,0,0,1,0,0,36,5,6,3,11,0,0,5,6,5,11,0,0.9856025811551484,0.3272658003253583,0
1,3,5,14,5,4,1,0,1,0,0,20,6,6,6,13,0,0,6,6,6,13,-4,1.006014479179975,0.849234255179822,0
8,1,6,1,6,5,0,1,0,0,0,34,6,15,2,10,0,0,6,12,2,11,1,0.4836193411668167,0.6554443561527709,0
8,1,3,1,3,4,1,0,1,1,0,41,6,7,0,13,0,0,6,9,0,0,0,-0.002132303528850194,0.004724839296255746,0
1,1,9,1,5,11,0,0,1,1,0,19,5,7,5,13,0,0,5,7,5,13,0,0.9980543004716517,0.9896877455883223,1
1,1,8,14,10,9,0,0,1,0,0,35,6,10,6,12,0,0,6,8,5,12,2,1.0094842939480022,0.8487364674299362,1
1,5,9,1,8,10,0,0,1,0,0,24,5,14,3,13,0,0,5,8,5,13,0,0.4757056411340633,0.8033401683421635,0
14,1,9,28,10,7,1,0,1,1,0,21,8,18,12,13,0,10,8,13,10,12,-4,1.0098260797945282,1.010663610955331,1
8,6,13,1,5,4,0,1,1,0,0,18,7,7,6,13,0,0,7,7,6,14,0,1.0015915775885498,0.992820608851818,1
17,1,16,3,2,3,1,0,1,0,0,18,11,16,10,13,1,4,11,12,7,11,-3,0.5929284161057466,0.5320673623665524,0
1,1,6,27,6,2,0,0,1,0,0,30,6,16,4,10,0,0,6,11,2,10,-4,0.42610237038543974,0.39715096833803376,0
1,2,11,14,5,10,1,0,1,0,0,20,6,9,6,13,0,0,6,6,6,12,3,1.0021586165035001,0.9984813877613558,1
1,3,6,1,4,9,1,0,1,0,1,18,5,6,4,15,0,0,5,5,4,14,0,1.0017437453508184,0.9892022524184733,1
1,5,16,14,10,10,0,0,1,0,1,19,6,10,5,12,0,0,6,8,5,12,0,1.0079711434136,1.0045479708459717,1
8,1,14,1,1,5,0,0,1,1,0,24,6,15,2,13,0,0,6,14,1,10,0,0.4451623186117077,0.263928910010372,0
1,4,16,27,8,3,0,0,1,0,0,18,7,12,5,14,0,0,7,10,5,11,2,0.6747223385126817,0.45875375469123325,1
14,1,2,1,10,11,0,0,0,1,0,24,4,0,0,0,6,0,0,0,0,0,1,0.00242395988657522,0.004483518277988742,0
15,1,4,1,1,11,0,1,1,1,0,19,6,6,6,14,0,0,6,10,6,14,0,0.9984163209618331,0.9997448460490718,0
1,2,14,14,10,10,0,0,1,1,0,19,5,11,4,11,1,0,5,11,4,13,-3,0.8253653343685622,0.6416523779486354,1
8,2,10,1,4,8,0,0,1,1,0,18,6,6,5,13,0,0,6,7,5,13,0,1.003013650513772,0.8224313363381285,1
6,3,12,1,5,5,1,0,1,0,0,20,7,9,6,14,0,0,8,9,6,14,1,0.9990451354525648,1.0026250101079004,1
1,2,10,28,10,10,1,0,1,0,0,18,6,0,0,0,0,0,6,0,0,0,0,0.00561190973553748,0.0024325455962414524,1
1,2,15,14,8,10,1,0,1,0,1,20,6,6,6,12,0,0,6,6,5,11,0,1.0064997209076598,0.9989221722201418,1
12,1,10,27,10,10,0,0,1,0,0,38,6,8,6,12,0,0,6,7,5,11,-1,0.8690313295279735,0.8448563280984285,0
1,2,12,14,10,5,1,1,1,0,0,19,7,8,6,12,0,0,5,8,5,13,0,1.0001215584331038,0.9902346172360834,1
12,1,9,24,10,10,0,1,1,1,0,42,5,16,3,11,1,0,5,15,15,11,-4,0.44594969296973724,0.2407195982107632,0
1,5,12,14,6,10,1,0,1,0,0,19,8,11,7,12,0,0,8,8,7,11,-3,0.8474391388060701,0.8324721355394857,1
1,5,16,9,10,10,1,0,0,0,0,18,7,0,0,0,0,0,0,1,0,0,1,-0.004491815869548071,0.006754211676477017,0
1,2,15,28,10,8,1,0,1,0,0,18,6,6,5,10,0,0,6,7,5,11,0,0.8442228432495271,0.841638820538437,1
15,2,5,14,6,6,1,0,1,0,0,20,6,10,6,11,0,0,6,7,6,13,-4,1.0034385736794598,0.8472626152471046,1
15,2,10,14,6,8,0,0,1,1,0,32,6,6,0,10,1,0,6,0,0,0,2,-0.023750072508956218,0.006119697941164196,0
1,1,12,1,10,2,1,0,1,0,0,18,8,7,9,15,0,0,8,11,7,12,0,0.8488431403886032,0.8418230123830751,1
1,2,15,14,6,2,1,0,1,0,0,24,6,6,2,13,0,0,6,0,0,10,2,0.0008477791519448863,-0.0003514848312552478,1
1,4,11,14,6,9,1,0,1,0,0,19,6,8,5,13,0,0,6,12,5,12,0,0.8356586843276843,0.3820293568355817,1
4,1,2,24,1,6,1,0,1,0,0,26,0,0,0,0,1,0,0,0,0,0,-3,-0.021975057061111285,-0.010187769711104126,0
1,1,7,14,10,36,1,0,1,1,0,19,5,8,2,10,0,0,5,10,3,11,1,0.6527593943286261,0.295219186060129,0
4,2,16,1,5,8,0,0,1,0,0,19,6,10,6,13,0,0,6,6,6,13,0,1.0028834792403198,0.9889579356864393,1
12,1,8,1,12,8,0,0,1,1,0,20,5,7,5,16,0,0,5,6,5,16,0,0.9967584727828551,1.005312156686084,1
8,1,12,3,12,5,0,0,1,0,0,18,8,7,7,13,0,0,8,9,7,13,0,0.8626985236373181,0.8571173972764381,1
15,2,6,4,8,10,1,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0.011013721571860566,0.040642072976679953,0
1,1,12,14,10,10,0,0,1,0,0,20,7,8,6,14,0,0,7,7,7,14,0,1.0061511234918308,0.9948375257424853,1
12,1,17,27,10,9,0,0,0,1,0,30,5,8,4,15,0,0,5,5,2,11,0,0.8158731082513598,0.41747761206739165,0
8,1,7,1,10,9,0,0,1,1,0,19,5,6,2,13,1,0,5,5,2,11,0,0.9905994644456768,0.987066910673855,1
13,2,12,3,5,9,0,0,1,0,0,50,8,9,7,13,0,4,8,7,7,15,0,0.8519705309901315,0.8703391160623507,1
7,1,13,1,6,3,0,1,1,0,0,19,5,10,5,14,0,0,6,9,7,12,3,0.8395736473487122,0.5429128023502954,1
1,2,16,1,6,8,1,1,1,0,0,19,6,0,0,0,0,0,0,0,0,0,1,-0.010130221664040817,-0.0019302385251066963,0
15,1,15,14,6,8,0,1,1,1,0,26,6,10,2,10,0,0,6,11,3,13,0,0.3322216900842138,0.5030696194216296,0
8,3,15,1,4,36,0,1,1,1,0,18,6,10,6,13,0,0,6,7,6,14,0,0.990395270934029,0.9987615325874685,1
1,2,15,28,3,10,1,0,1,0,0,20,6,6,5,13,0,0,6,8,6,13,0,0.9985207513456023,0.8421516352960242,1
1,2,15,28,10,10,1,0,1,0,1,18,6,8,6,11,0,0,6,12,6,13,3,1.0071532090796524,1.0007603497147717,1
14,1,8,1,1,12,1,0,1,0,0,21,6,0,0,0,0,0,5,0,0,0,0,-0.03049704157658126,-0.01133579067366922,0
15,1,2,28,10,10,1,0,1,0,0,19,6,1,3,10,0,0,6,12,0,0,3,0.4455859822409457,0.360365380021362,0
12,1,3,28,4,5,0,0,1,0,0,31,6,8,6,13,0,0,6,21,6,13,2,0.9908095174084737,0.8127200892513972,1
8,2,2,26,2,12,1,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,1,-0.012543231844387225,0.0010394149174988152,1
4,1,2,1,3,2,0,0,1,0,0,21,6,19,2,10,0,1,6,12,0,12,-4,0.4658229530317183,0.5868412034931654,0
8,4,15,2,3,3,1,0,1,0,0,19,6,14,3,10,0,0,6,12,3,10,-3,0.1361698274558758,0.32246935877540045,0
14,1,6,1,5,11,1,1,1,0,0,26,5,0,0,0,0,0,5,0,0,0,0,-0.007777384669501001,-0.012233935113509915,0
1,2,2,14,4,5,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,2,-0.000977398164075728,-0.008222543715994228,0
14,1,17,14,5,8,0,0,0,1,0,24,5,6,2,0,0,0,5,6,0,0,-4,0.022430677885048277,-0.013247979727720648,0
12,1,8,27,1,5,0,0,1,0,0,26,6,1,0,0,0,0,6,0,0,0,0,-0.023982732792759278,-0.017843414223090288,0
12,1,12,14,10,10,0,1,0,0,0,30,6,8,4,12,0,0,6,8,2,11,0,0.45433052565035287,0.6557541962131047,0
12,1,17,27,10,10,0,0,1,1,0,40,5,8,5,11,0,0,5,5,5,11,0,0.419142580177173,0.23533417454055658,0
6,1,4,29,10,8,0,0,1,1,0,23,11,11,7,12,0,4,11,17,11,11,-4,0.6951637444347398,0.868935185051588,1
4,1,6,24,1,1,0,0,0,1,0,30,5,6,0,0,0,0,5,6,0,0,0,-0.023631076883307726,-0.002908728127296549,0
1,1,16,14,10,10,0,0,1,0,1,19,6,7,6,15,0,0,6,7,6,11,0,1.0043370241069274,0.9990437373683115,1
1,4,9,27,10,10,1,0,1,1,0,19,5,9,9,12,0,0,5,8,5,13,1,0.8321517695806692,0.8337764901515005,1
1,5,9,28,10,10,0,0,1,0,0,20,5,6,5,12,0,0,5,6,6,11,0,0.8710268623117734,0.9843404561227717,1
1,2,16,14,8,8,0,0,1,0,0,19,6,10,6,11,0,0,6,12,5,13,-4,0.98979773386592,0.38850230133928215,0
12,1,15,14,1,8,0,0,1,0,0,39,6,10,6,14,0,0,6,7,5,13,0,1.0009962233110297,0.8687484227317324,0
1,3,15,14,6,10,1,0,1,0,0,18,6,6,6,13,0,0,6,7,6,13,0,0.9988951855454514,1.0001083594855562,1
8,3,2,1,6,10,1,0,1,1,0,18,0,0,0,0,1,0,0,0,0,0,0,-1.2564844478772999e-05,-0.0005771719527214764,0
1,3,12,14,8,7,1,0,1,0,0,19,7,7,6,13,0,0,7,8,6,14,0,0.8719638533005594,1.0083618090595883,1
8,2,14,10,5,4,0,0,1,1,0,21,6,13,3,11,0,2,6,11,5,11,0,0.6278868857814496,0.4077648456951719,0
16,1,5,1,1,9,0,0,1,1,0,31,5,7,5,11,0,0,6,6,5,12,0,0.9901353836292819,0.9987088665650131,1
1,4,10,14,10,4,1,0,1,0,0,18,6,6,6,13,0,0,6,7,0,11,0,0.8298853961699657,0.8306937716268176,1
14,1,6,2,3,4,1,0,1,0,0,27,11,16,16,12,0,0,11,14,8,12,2,0.8303810702436764,0.8352623133750412,0
8,3,6,10,7,4,1,0,1,1,1,18,5,6,5,15,0,0,5,5,5,12,3,0.9945893476489082,1.0005893152439433,1
12,1,8,1,1,1,0,0,1,1,0,44,6,9,0,0,0,0,6,10,0,0,0,0.0007609223385899182,-0.0053542918176775756,0
8,4,2,14,10,10,1,0,1,0,1,19,6,9,6,13,0,0,6,6,5,11,3,1.005444805047682,0.9945781049780306,1
1,1,5,14,3,9,0,0,1,0,0,20,7,21,11,13,0,12,16,18,6,15,-4,1.0001854692788816,0.9859020065616118,1
1,1,10,14,29,4,1,0,1,0,0,26,10,11,7,13,0,0,8,12,7,12,3,0.6648723399000055,0.668293618347402,0
12,1,3,24,10,5,0,0,1,1,0,42,6,8,4,13,3,0,7,14,0,0,0,0.4683007596122201,-0.007485431156464928,0
12,1,12,14,6,10,0,0,1,0,0,21,7,8,7,13,0,0,8,8,7,13,0,0.8555422234549226,0.8615735221597637,1
15,1,3,27,6,10,0,0,1,0,0,21,6,8,6,12,0,0,6,7,5,11,1,0.8562964822975698,1.002223149335032,1
8,2,9,14,2,5,1,0,1,1,0,20,5,13,0,10,1,0,5,9,0,0,1,-0.016438417855230453,-0.0162926528276935,0
14,1,9,27,10,10,0,0,1,0,1,19,5,12,10,12,0,0,16,10,5,13,0,0.8540414549213161,0.8355548198878261,1
15,1,8,1,6,8,1,1,0,1,0,20,6,16,16,11,0,5,11,14,2,10,3,0.4454194257918569,0.44771931551541644,0
16,3,5,1,5,3,1,1,1,0,0,20,6,10,6,13,0,5,6,7,6,13,3,0.9936649163399685,0.9970222194899971,1
14,1,6,14,10,9,0,0,1,0,0,25,5,8,2,10,0,0,5,10,2,10,0,0.40027688841873826,0.31348821749349054,0
9,1,6,1,10,10,1,0,1,1,1,22,5,15,2,10,0,0,6,12,3,11,0,0.4260739518035895,0.21402596897002857,0
15,1,6,1,5,3,1,0,1,1,0,20,6,10,2,12,0,1,6,12,2,10,0,0.4061897851905325,0.36774660936165326,0
16,1,3,1,5,8,0,0,1,0,0,20,7,7,6,13,0,0,6,7,6,13,0,1.0006707848042549,1.0002920907992265,1
1,4,6,27,6,4,1,0,1,0,0,19,5,12,5,12,0,0,5,9,3,11,-3,0.622379171215525,0.3542186933260878,0
1,1,6,27,6,10,0,0,1,0,1,19,8,9,7,12,0,0,8,10,5,12,0,0.8504116054467297,0.8601868781644447,1
8,3,15,14,10,4,1,1,1,0,1,18,6,6,6,16,0,0,5,5,6,11,0,1.0076057327514574,0.98987768811061,1
15,1,12,14,6,6,1,0,1,0,0,19,8,8,7,12,0,0,7,7,5,12,0,0.8689996260661025,0.8526699728614053,1
1,5,5,28,5,8,1,0,1,0,0,19,6,10,6,12,0,0,6,7,6,12,3,1.0018087774095694,0.839078739977796,1
8,6,12,14,10,10,1,0,1,0,0,18,6,10,5,13,0,0,7,9,5,14,1,0.8508741461916434,0.3700324022608217,0
12,1,14,28,4,1,0,0,1,1,0,27,5,14,1,11,1,0,5,14,2,11,0,0.40363025162776495,0.18796323571228854,0
12,1,11,27,12,4,0,0,1,0,0,28,6,6,5,11,0,0,6,6,6,12,0,1.0031720177937633,0.8309783932431203,1
8,1,7,14,4,11,0,0,1,1,0,18,5,12,2,10,0,0,5,9,0,10,0,0.48612290116682955,0.45530074095108675,0
12,3,9,27,10,10,0,0,1,0,0,40,5,8,4,11,0,0,5,7,5,12,0,0.8536721766407762,0.8533760571338859,1
1,1,6,1,10,8,0,0,1,1,0,20,5,8,5,11,0,0,5,7,5,11,0,0.862935604863748,0.6136256447407018,1
14,1,14,10,10,9,0,0,1,0,0,42,6,9,5,13,0,0,6,11,5,13,0,0.8258416799939459,0.8173254839711674,1
1,2,2,28,9,8,1,0,1,0,0,18,6,0,0,0,0,0,6,1,0,0,2,0.006355845810189975,-0.0002091037613371629,0
12,1,3,27,1,1,0,1,0,0,0,39,4,0,0,0,0,0,4,0,0,0,0,0.00867584114674768,0.019514340687609478,0
14,3,9,28,10,10,0,0,1,0,1,19,6,8,6,12,0,0,6,6,5,12,0,1.0023454626953892,0.9959945158067982,1
