Course,Debtor,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target_Graduate
12,0,1,1,19,7,8,7,14,8,8,8,14,1
12,0,1,1,19,7,9,6,11,8,8,7,13,1
5,0,1,0,23,6,8,6,13,6,8,6,11,1
14,0,1,0,19,6,7,6,14,6,6,6,13,1
12,0,1,0,20,7,7,6,12,7,7,6,12,1
6,1,1,0,22,6,9,5,13,6,17,4,11,0
16,0,1,0,18,7,10,6,10,7,12,6,12,0
8,1,0,0,27,5,6,2,11,5,5,1,11,0
13,0,1,0,29,7,9,1,10,7,0,0,0,0
11,0,1,0,18,6,10,5,11,6,10,5,12,1
5,0,1,0,18,6,7,5,11,6,6,6,12,1
12,0,1,0,18,8,8,8,12,8,8,8,12,1
6,0,1,0,20,5,13,3,11,5,8,5,12,0
11,0,1,0,18,6,6,6,12,6,7,5,14,1
5,0,0,0,18,6,10,5,12,6,11,4,10,0
6,0,0,0,28,5,9,1,12,4,10,0,0,0
12,0,1,1,18,8,12,7,11,8,12,7,11,1
12,0,1,0,27,7,12,4,14,7,14,3,12,0
1,0,1,0,26,7,9,7,14,7,12,5,13,0
15,0,1,0,18,6,6,6,12,6,6,6,13,1
8,0,1,0,18,5,12,4,13,5,6,5,14,0
9,0,1,0,21,5,6,0,0,5,5,0,0,0
5,0,1,0,18,6,8,4,10,6,9,0,0,0
3,0,0,0,32,5,5,0,0,5,10,0,0,0
14,0,1,0,28,5,6,4,12,5,7,4,11,1
17,0,0,0,40,4,4,0,0,5,0,0,0,0
3,1,0,0,39,5,5,0,0,4,4,0,0,0
10,1,0,0,39,6,0,0,0,6,0,0,0,0
4,0,1,0,50,6,7,6,12,6,15,5,12,1
16,0,1,0,23,6,10,5,12,6,9,3,11,0
3,0,1,0,48,6,11,1,10,6,11,1,11,0
16,0,1,0,23,6,11,4,11,6,10,5,10,0
12,0,1,1,18,8,8,7,12,8,8,7,12,1
8,0,1,0,18,5,14,2,12,5,6,5,12,1
10,0,0,0,20,6,9,5,13,6,7,6,13,1
6,0,1,1,18,5,9,4,12,5,8,5,13,1
13,0,1,0,18,7,8,4,12,8,8,0,0,0
7,0,1,0,31,5,12,1,12,5,9,1,11,0
7,0,1,0,24,5,9,1,12,5,6,3,10,0
2,0,1,0,24,0,0,0,0,0,0,0,0,1
9,1,0,0,26,5,5,0,0,5,9,0,0,0
8,1,1,0,18,6,11,5,13,6,9,4,11,0
9,0,1,1,19,5,12,3,11,5,10,3,11,0
14,0,1,0,22,6,0,0,0,6,0,0,0,0
12,0,1,0,18,8,8,7,11,8,8,7,11,1
5,1,0,0,20,6,11,0,0,6,12,0,0,0
2,0,1,0,25,0,0,0,0,0,0,0,0,1
17,0,1,0,24,5,10,4,11,5,11,5,11,1
7,0,1,0,27,5,10,1,14,5,0,0,0,0
11,0,1,0,21,6,7,5,11,6,7,5,12,1
4,0,1,0,21,6,7,6,12,6,6,6,13,1
15,0,1,0,19,6,9,4,12,6,6,6,11,0
12,0,1,0,28,7,7,7,14,8,11,8,15,1
9,0,1,0,20,5,8,5,10,5,10,2,12,0
4,0,1,1,21,6,8,6,13,6,10,6,12,1
12,0,1,1,18,7,7,7,15,8,9,8,15,1
7,0,1,1,18,5,6,5,13,5,8,5,12,0
9,0,1,0,20,5,9,4,10,5,6,3,11,0
7,0,1,0,25,5,6,5,14,5,5,2,13,0
14,1,1,0,22,6,8,6,12,6,11,2,14,0
12,0,1,0,18,8,11,6,13,8,11,6,13,0
9,0,1,0,19,5,8,5,13,5,8,5,11,1
7,0,1,0,19,5,12,3,12,5,10,3,12,0
15,1,0,0,25,6,10,4,13,6,9,4,13,0
5,1,1,0,21,11,12,9,11,8,11,3,13,0
7,0,1,0,19,5,10,2,11,6,10,0,0,0
9,0,1,0,20,5,14,0,0,5,5,0,0,0
4,0,1,0,25,14,16,14,12,9,13,6,10,0
9,0,1,0,20,5,8,3,11,5,11,3,12,0
2,0,1,0,18,0,0,0,0,0,0,0,0,1
11,1,1,0,23,6,12,3,11,6,12,3,10,0
12,0,1,0,23,8,8,8,12,8,8,8,12,1
4,0,1,0,21,12,18,11,12,12,14,11,12,1
8,0,1,0,20,5,14,2,11,5,9,3,12,0
17,0,1,0,25,5,13,1,10,5,8,2,11,0
8,0,1,0,18,6,6,6,13,6,9,5,13,1
5,0,1,0,22,6,6,6,14,6,8,6,13,1
14,0,1,0,27,6,7,6,14,6,7,6,14,1
4,0,1,0,25,3,4,0,0,3,5,0,0,0
7,0,1,0,18,5,9,3,11,5,10,3,11,0
6,0,1,0,20,5,7,5,14,5,5,5,14,1
4,0,1,0,27,6,10,5,13,6,13,5,11,1
3,0,1,0,20,6,7,6,12,6,9,6,12,1
9,0,1,0,22,5,9,0,0,5,5,1,12,0
7,0,1,0,19,5,10,3,10,5,11,3,10,0
9,0,1,0,20,5,14,3,12,5,8,5,10,0
2,0,1,0,19,0,0,0,0,0,0,0,0,1
6,0,0,0,29,5,12,0,0,5,8,0,0,0
12,0,1,0,19,8,8,7,13,8,8,7,13,1
17,0,1,1,28,5,7,5,10,5,6,5,10,0
10,0,1,0,20,6,7,6,11,6,6,6,11,1
5,0,1,0,20,6,6,4,13,6,8,6,13,1
3,0,1,0,31,6,12,0,0,6,0,0,0,0
12,0,1,0,18,7,8,7,12,8,9,7,12,1
14,0,1,0,19,6,6,6,14,6,8,6,13,0
9,0,1,0,18,5,10,4,12,5,9,4,12,1
11,0,1,0,19,6,8,5,11,6,8,5,11,1
9,0,1,1,18,5,5,5,15,5,5,5,15,1
6,0,1,0,19,5,7,3,12,5,7,5,13,1
15,0,1,1,18,6,6,6,12,6,7,6,12,1
11,0,1,0,19,6,12,6,11,6,14,3,12,1
13,0,1,0,19,7,9,7,12,8,8,8,13,1
14,0,1,0,18,6,6,6,13,6,11,6,14,1
12,0,1,0,19,7,12,4,12,7,11,5,11,0
14,0,1,1,20,6,9,6,12,6,7,6,13,1
14,0,1,0,20,6,8,5,13,6,10,4,13,0
4,1,1,0,20,6,8,6,13,6,8,5,14,0
17,0,1,0,29,15,15,11,11,13,16,11,11,0
16,0,0,1,20,6,10,4,12,6,14,3,10,0
16,1,0,0,31,7,8,6,12,7,9,5,12,0
14,0,1,0,20,6,7,6,12,6,9,6,13,1
4,0,1,0,21,18,22,18,11,13,13,13,11,1
8,0,1,0,23,6,0,0,0,6,0,0,0,0
5,1,0,0,21,6,6,4,13,6,8,4,11,0
12,0,1,0,24,7,7,7,16,8,9,8,15,1
3,0,1,0,27,6,6,6,12,6,6,6,12,1
12,0,1,1,18,7,9,7,13,8,8,8,15,1
2,0,0,0,21,0,0,0,0,0,0,0,0,0
8,1,1,1,19,5,7,0,0,5,5,0,0,0
12,0,1,1,19,8,8,7,12,8,8,7,12,1
6,0,1,0,18,6,0,0,0,6,0,0,0,0
12,0,1,1,18,7,8,5,11,7,8,5,11,0
16,1,1,1,20,7,7,7,13,7,8,7,12,1
3,0,1,0,24,6,9,5,13,6,6,6,14,1
5,0,1,0,20,6,6,6,12,6,10,6,11,1
9,0,1,0,20,5,11,4,11,5,7,5,13,0
12,0,1,1,19,8,8,7,12,8,8,7,12,1
12,0,1,1,18,8,8,7,13,8,8,7,13,1
10,0,1,1,20,6,6,6,12,6,6,6,10,1
12,0,1,0,20,7,8,7,12,8,10,8,13,1
12,0,1,1,19,7,9,6,12,8,9,8,13,1
6,0,1,0,19,6,10,5,12,6,19,4,11,0
15,0,1,0,20,6,6,6,13,6,6,6,12,1
9,0,1,0,19,5,15,2,10,5,11,2,10,0
16,0,1,0,19,6,11,4,13,6,10,4,10,0
12,0,1,1,18,8,8,8,13,8,8,8,13,1
5,0,1,1,23,6,6,6,13,6,8,3,12,0
16,0,1,0,21,6,8,5,12,6,9,5,10,0
3,0,1,0,23,9,10,9,10,8,10,6,11,1
12,0,1,0,19,7,8,7,13,8,9,8,13,1
15,0,1,0,18,6,6,6,13,6,6,6,14,1
15,0,1,0,19,6,10,5,11,6,10,5,12,1
12,0,1,1,25,8,8,7,12,8,8,7,12,1
16,0,1,0,19,6,9,5,12,6,10,4,13,0
12,0,1,1,19,7,8,7,12,8,8,8,15,1
13,1,1,1,24,7,13,7,11,8,13,7,11,1
14,0,1,1,18,6,7,6,13,6,9,5,14,1
10,0,1,1,19,6,8,6,12,6,7,6,12,1
12,0,1,1,18,8,12,7,12,8,12,7,12,1
17,0,1,0,27,5,9,3,10,5,7,4,11,0
10,0,1,0,19,6,11,5,11,6,13,5,11,1
15,0,1,1,18,6,6,6,12,6,6,6,11,0
14,1,0,0,34,6,7,4,13,6,6,0,0,0
9,0,1,0,18,5,9,3,11,5,15,2,11,0
9,0,1,0,18,5,8,2,10,5,7,3,12,0
12,0,1,0,18,8,8,8,14,8,8,8,14,0
15,1,0,0,20,6,0,0,0,6,0,0,0,0
9,0,1,1,19,5,8,2,10,5,11,3,13,0
10,0,1,0,21,6,11,5,11,6,15,1,10,0
17,0,1,0,26,5,5,5,12,5,6,5,14,1
13,0,1,0,27,7,9,7,12,8,10,8,13,1
14,0,1,0,20,5,6,4,11,5,5,4,10,1
10,0,1,0,18,6,8,6,15,6,7,6,16,1
6,0,0,0,23,12,19,9,13,9,15,6,13,0
12,0,1,0,24,8,11,7,12,8,11,7,12,1
10,0,1,1,19,6,7,5,12,6,6,6,11,1
15,0,1,0,19,6,13,4,11,6,10,4,11,1
10,1,1,1,19,6,9,5,11,6,9,3,10,0
10,1,1,0,18,6,10,5,10,6,14,2,10,0
3,0,1,0,22,16,16,13,10,13,13,11,11,1
5,0,1,0,20,6,6,5,12,6,9,5,12,1
4,0,1,0,25,6,6,0,0,6,6,0,0,0
4,0,1,0,21,6,6,6,15,6,8,6,15,1
12,0,1,0,19,7,12,5,11,7,9,6,11,0
15,0,1,0,18,6,7,6,12,6,6,6,13,1
14,0,1,0,18,5,7,3,12,5,7,4,13,1
12,0,1,0,19,7,8,7,13,8,9,8,14,1
6,0,1,1,19,5,6,5,15,5,5,5,16,1
15,1,0,0,18,6,9,5,12,6,9,4,11,0
10,0,1,1,20,11,11,11,12,11,11,11,13,1
12,0,1,0,19,7,0,0,0,8,0,0,0,0
12,0,1,0,28,17,21,17,13,17,19,17,13,1
10,0,1,1,20,6,8,6,14,6,8,6,11,1
3,0,1,0,30,11,19,9,13,7,7,7,14,0
12,0,1,1,19,7,8,7,12,8,10,8,11,1
5,0,1,0,22,6,7,6,11,6,7,5,13,1
11,0,1,0,18,6,8,6,12,6,6,6,13,1
16,0,1,0,23,6,11,2,10,6,15,2,11,0
5,0,1,0,18,6,6,6,14,6,6,6,15,1
16,0,1,0,18,6,9,5,11,6,6,4,12,0
15,1,0,0,50,6,7,1,15,5,12,0,0,0
2,0,1,1,19,0,0,0,0,0,0,0,0,1
11,0,1,0,22,6,7,6,10,6,6,6,10,1
10,1,1,1,23,6,7,6,13,6,6,6,14,1
6,1,0,1,20,5,8,5,14,5,6,5,14,0
10,0,0,0,44,6,0,0,0,6,0,0,0,0
4,0,1,0,49,12,17,7,12,12,19,9,11,1
17,0,1,0,46,10,13,9,12,10,12,10,12,1
6,0,0,0,41,3,3,3,12,2,2,2,11,0
12,0,1,0,18,7,8,7,11,8,9,8,12,1
17,0,1,0,43,5,5,5,11,5,6,5,14,1
9,1,0,0,70,5,5,0,0,5,9,0,0,0
8,0,1,0,48,6,0,0,0,6,0,0,0,0
4,0,1,0,41,19,19,19,12,13,13,13,12,1
11,0,1,0,21,6,8,6,12,6,10,4,13,0
1,1,0,0,35,7,18,3,11,7,7,0,0,0
8,0,1,0,44,5,13,4,14,5,9,4,15,1
9,1,1,0,18,5,15,4,13,5,6,2,13,0
3,0,1,0,45,6,7,6,13,6,6,6,13,1
11,0,1,0,20,6,12,3,10,6,9,5,10,0
4,0,1,0,22,6,12,5,12,6,11,6,11,1
7,0,1,0,39,5,10,3,17,5,11,1,17,0
6,0,0,0,20,6,10,5,13,6,21,3,12,0
9,0,1,0,49,5,9,3,14,5,8,3,13,0
13,0,1,0,43,4,4,4,13,1,1,1,12,0
17,0,1,0,32,5,5,0,0,5,5,0,0,0
10,0,1,0,47,9,9,9,13,7,7,7,14,1
17,0,1,1,37,5,8,5,13,5,11,4,13,0
3,0,1,0,41,10,10,10,12,7,7,7,12,1
4,0,1,0,60,18,18,18,14,13,13,13,14,1
11,0,1,0,47,11,11,11,14,9,9,9,15,1
3,1,0,0,50,6,6,0,0,5,6,0,0,0
17,0,1,0,45,5,5,0,0,5,5,0,0,0
7,1,0,0,45,5,5,0,0,5,5,0,0,0
6,0,1,0,33,5,7,4,13,5,6,5,11,1
12,0,1,0,18,8,8,7,13,8,8,7,13,1
6,0,1,0,43,5,8,5,13,5,5,5,14,1
3,0,1,0,44,13,18,13,11,11,11,11,12,1
8,0,1,0,29,5,5,0,0,5,5,0,0,0
14,1,0,0,53,6,11,3,14,6,6,0,0,0
17,0,1,0,37,5,10,5,15,5,5,5,17,0
14,0,1,0,18,6,16,5,13,6,7,5,12,0
1,1,1,0,35,10,18,6,12,9,11,3,12,0
11,0,1,0,23,6,10,6,13,6,9,6,12,0
2,0,1,0,22,0,0,0,0,0,0,0,0,1
3,0,0,0,33,6,6,1,11,6,0,0,0,0
8,0,0,0,41,5,9,0,0,5,9,0,0,0
12,0,1,0,51,7,7,7,15,8,8,8,16,1
14,0,1,0,19,6,7,6,14,7,8,7,14,1
17,0,1,0,35,5,5,0,0,5,5,0,0,0
2,0,1,0,20,0,0,0,0,0,0,0,0,1
14,0,1,0,18,6,13,4,13,6,8,5,11,0
15,1,0,1,18,6,11,5,12,6,15,3,12,0
4,0,1,0,21,6,12,5,12,6,11,5,11,1
11,0,1,0,21,6,9,6,12,6,8,5,11,1
9,0,1,0,34,5,10,3,11,5,7,4,12,1
8,0,1,0,34,6,9,0,0,6,6,0,0,0
14,0,1,0,21,6,10,6,11,6,8,5,12,1
15,0,1,0,32,11,15,7,11,7,10,6,12,0
11,0,1,0,30,6,17,2,10,6,15,3,11,0
2,1,1,0,19,12,13,11,12,11,15,10,11,0
15,0,1,0,20,7,7,6,13,6,7,5,13,0
5,0,1,0,18,6,0,0,0,6,0,0,0,0
11,0,1,0,19,6,7,6,14,6,6,6,12,1
12,0,1,0,18,7,8,5,14,7,9,6,12,0
17,0,1,0,27,5,8,4,11,5,9,3,10,0
15,0,1,0,52,6,7,5,13,6,6,6,15,1
4,0,0,0,29,6,6,0,0,6,8,0,0,0
4,1,0,0,22,6,12,3,11,6,13,2,11,0
6,0,1,0,28,18,45,18,12,13,26,12,11,1
14,0,1,0,30,5,5,0,0,5,5,0,0,0
12,0,1,0,18,7,7,7,13,8,9,8,13,1
14,0,1,0,21,5,5,4,11,5,5,3,13,1
5,1,1,1,20,6,9,6,13,6,10,6,14,1
12,0,1,1,21,8,8,8,13,8,8,8,13,1
17,1,0,0,32,5,5,0,0,5,6,0,0,0
5,0,1,1,20,6,6,6,15,6,7,6,12,1
2,1,0,0,19,0,0,0,0,0,0,0,0,0
14,1,0,0,18,6,6,4,11,6,7,3,12,0
17,0,0,0,23,15,24,12,11,14,21,11,11,0
11,0,1,0,20,6,10,6,12,6,9,4,13,1
9,0,1,0,46,9,18,8,11,5,11,5,11,1
4,0,1,0,27,18,19,18,12,12,15,12,12,1
2,0,1,0,20,0,0,0,0,0,0,0,0,0
3,0,1,0,41,9,11,9,12,7,8,6,12,1
9,1,1,0,40,5,10,1,11,5,10,1,10,0
3,0,1,0,37,16,17,16,14,11,14,10,13,1
9,0,1,0,20,5,8,5,10,5,7,5,11,0
8,0,1,0,20,5,7,4,12,5,6,4,12,0
17,0,1,0,26,9,11,9,12,7,7,7,12,1
3,0,1,0,54,9,9,9,14,7,7,7,13,1
14,0,1,0,21,6,6,6,15,6,9,6,14,1
6,0,1,1,20,6,8,6,15,6,8,6,15,1
15,0,1,0,18,6,0,0,0,6,0,0,0,0
12,0,1,0,19,7,9,6,13,8,12,7,13,0
10,0,1,0,18,6,7,6,12,6,7,6,12,1
6,0,1,0,19,6,13,4,11,6,18,4,12,0
6,1,1,0,22,6,9,6,12,6,12,3,12,0
6,0,1,0,19,6,7,6,15,6,8,6,15,1
2,0,1,0,21,12,12,8,13,11,13,9,12,0
16,0,1,0,20,7,9,6,11,7,7,6,14,0
15,0,1,1,18,6,6,6,12,6,6,6,13,1
15,0,1,1,18,6,6,6,15,6,6,6,15,1
14,1,1,0,20,6,10,2,11,6,10,4,10,0
12,0,1,1,18,7,10,7,14,8,8,8,14,1
12,0,1,0,18,8,9,6,13,8,9,6,13,0
15,0,1,1,20,6,7,5,12,6,6,6,12,1
10,0,1,0,19,6,10,6,10,6,7,6,12,1
5,0,1,0,18,6,6,6,13,6,6,5,14,1
12,0,1,0,18,8,8,7,14,8,8,7,14,1
6,1,1,1,18,5,5,5,14,5,5,5,14,0
2,0,1,1,20,0,0,0,0,0,0,0,0,1
15,0,1,1,19,6,6,6,13,6,6,6,13,1
12,0,0,0,36,6,15,2,11,7,9,0,0,0
10,0,1,1,19,6,7,6,11,6,7,6,12,1
10,0,1,0,18,6,6,6,12,6,6,5,13,1
15,0,1,1,18,6,6,6,13,6,6,6,12,1
15,0,1,1,18,6,6,6,14,6,6,6,14,1
5,0,1,0,19,7,7,7,13,9,9,9,13,1
12,0,1,0,18,7,8,7,13,8,8,8,12,1
8,0,1,1,19,6,8,6,13,6,7,6,13,1
16,0,1,0,18,6,7,6,12,6,10,4,12,0
5,0,0,1,22,6,8,6,11,6,10,4,12,0
10,1,0,0,18,6,0,0,0,6,0,0,0,0
9,0,1,0,19,5,7,5,13,5,6,5,12,1
15,0,1,0,18,6,6,6,15,6,6,6,14,1
16,0,1,0,19,7,7,7,13,7,7,7,14,1
9,1,1,0,20,5,10,2,11,5,8,3,10,0
5,0,1,1,18,6,6,6,13,6,6,6,12,1
8,1,0,0,23,6,10,6,14,6,11,4,13,0
15,0,1,0,20,4,4,0,0,6,0,0,0,0
5,0,1,0,20,6,6,6,11,6,9,6,11,0
10,1,0,1,22,6,0,0,0,6,0,0,0,0
16,0,1,1,18,7,8,7,12,7,9,6,13,1
12,0,1,1,18,7,7,7,14,8,9,8,13,1
12,0,1,0,18,7,7,7,14,8,9,8,14,1
16,0,1,0,18,7,7,7,15,7,7,7,15,1
9,0,1,0,21,5,9,5,12,5,11,3,12,0
5,0,1,0,20,6,6,6,12,6,8,6,11,0
5,0,1,0,18,6,6,6,14,6,6,6,12,1
12,0,0,1,20,7,7,7,13,8,10,7,13,0
3,0,1,0,25,6,6,6,12,6,6,6,12,1
9,0,1,1,18,5,10,5,12,5,8,4,11,1
2,0,1,0,19,0,0,0,0,0,0,0,0,1
6,0,1,0,20,7,9,6,14,7,16,6,13,0
10,0,1,1,20,6,7,6,12,6,7,6,13,1
15,0,1,1,21,6,6,6,12,6,6,6,11,1
14,0,1,0,18,6,8,6,14,6,9,5,14,1
16,0,1,0,18,7,8,7,11,7,9,6,13,0
5,0,1,1,18,6,6,6,15,6,6,6,15,1
12,0,1,0,18,8,8,8,14,8,8,8,14,1
14,0,1,0,19,6,0,0,0,6,0,0,0,0
11,0,1,0,20,6,8,6,11,6,10,6,11,0
10,0,1,0,47,6,12,0,0,5,10,0,0,0
8,1,1,0,21,5,9,5,13,5,7,2,12,0
8,0,1,0,31,6,11,2,12,6,12,1,10,0
7,0,1,0,46,5,6,0,0,5,5,0,0,0
7,0,1,0,18,5,9,4,12,5,10,2,11,0
7,0,1,0,19,5,10,3,13,5,9,4,10,0
13,0,1,0,23,7,11,5,12,7,13,2,13,0
8,0,0,0,22,5,5,0,0,5,5,0,0,0
9,0,1,0,19,5,5,5,13,5,7,5,12,1
9,1,0,0,19,5,14,0,0,5,5,0,0,0
9,0,0,0,22,5,10,4,11,5,11,4,14,0
8,1,0,0,29,5,11,0,0,5,6,0,0,0
12,0,1,0,18,7,7,6,14,7,7,6,14,1
10,0,1,0,18,6,9,5,11,6,8,5,10,1
2,1,0,1,23,0,0,0,0,0,0,0,0,0
17,0,1,0,34,5,12,5,10,5,11,5,12,1
9,0,1,0,19,5,11,3,10,5,9,4,10,1
6,0,1,0,18,5,9,4,14,5,8,5,12,0
12,0,1,1,20,7,7,7,13,8,8,8,14,1
12,0,1,0,19,7,9,7,13,8,11,7,12,1
16,0,1,0,22,6,10,5,12,6,9,4,11,0
10,0,1,1,23,6,7,6,13,6,6,6,14,1
12,0,1,1,34,8,8,7,13,8,8,7,13,1
7,1,0,0,18,5,12,0,0,5,8,0,0,0
15,0,1,0,21,6,6,5,11,6,9,0,0,0
10,0,1,0,22,6,6,6,12,6,6,6,13,0
4,0,1,0,28,6,6,0,0,6,6,0,0,0
7,0,1,0,23,5,7,0,0,5,5,0,0,0
15,0,1,0,20,6,11,4,10,6,13,2,10,0
7,0,1,0,18,5,7,5,12,5,9,3,13,0
9,1,0,0,28,5,5,0,0,5,5,0,0,0
5,0,1,0,21,7,7,2,12,9,10,7,12,0
14,1,0,0,25,6,7,3,14,6,9,2,14,0
6,0,0,0,19,6,6,6,14,6,11,6,13,0
12,0,1,1,18,7,7,7,14,8,9,8,15,1
7,0,1,0,29,3,3,0,0,5,0,0,0,0
7,0,1,1,29,5,6,0,0,5,7,0,0,0
11,0,1,0,20,6,7,6,13,6,7,5,12,1
2,0,1,0,18,0,0,0,0,0,0,0,0,1
11,0,1,0,20,6,8,6,13,6,7,6,12,1
7,0,1,0,33,5,14,1,18,5,9,2,13,0
17,0,1,0,30,15,15,13,11,11,15,10,11,1
13,0,1,1,21,7,14,5,11,8,11,6,11,0
4,1,1,0,18,6,6,5,15,6,8,4,14,1
12,0,1,1,19,7,9,7,14,8,12,8,12,1
5,0,1,1,21,6,8,4,11,6,7,5,11,0
13,0,1,1,25,7,7,2,10,7,7,0,0,0
14,0,1,0,19,5,7,3,12,5,5,5,11,1
5,0,1,0,23,7,8,5,12,9,10,7,12,0
5,0,1,1,19,6,6,6,13,6,7,5,13,1
2,0,1,0,19,0,0,0,0,0,0,0,0,1
4,1,0,0,31,6,15,1,11,6,10,0,0,0
4,1,0,0,32,6,8,3,13,10,14,6,11,0
12,0,1,1,19,8,12,7,12,8,12,7,12,1
15,0,1,0,34,10,11,10,12,10,12,9,12,1
15,0,1,0,21,6,6,6,13,6,6,6,13,1
10,0,1,1,53,7,16,6,11,7,9,7,11,1
12,0,1,1,19,7,7,7,14,8,8,8,15,1
15,0,1,1,20,6,9,4,13,6,13,4,11,1
15,0,1,0,18,6,6,6,14,6,6,6,14,1
2,0,0,0,32,0,0,0,0,0,0,0,0,0
12,0,1,1,21,8,8,7,14,8,8,7,14,1
3,0,0,0,26,5,9,0,0,5,10,0,0,0
6,0,1,0,26,18,45,18,11,13,27,13,12,1
17,0,0,0,21,5,12,3,11,5,10,1,13,0
15,0,1,0,18,6,9,6,12,6,9,6,13,1
5,0,1,1,21,12,12,12,13,12,12,11,12,1
11,0,1,0,21,6,10,6,10,6,10,4,11,0
14,0,1,1,19,6,6,6,13,6,6,6,14,1
9,0,1,0,19,5,7,2,10,5,11,2,14,0
10,0,1,1,19,6,8,6,11,6,11,5,11,1
12,0,1,0,27,8,8,8,12,8,8,8,12,1
12,0,1,1,18,7,7,6,12,7,7,6,12,1
9,0,1,0,20,5,12,1,10,5,5,0,0,0
12,0,1,1,19,7,7,7,13,8,8,8,12,1
14,0,1,0,20,6,7,0,0,6,6,0,0,0
10,0,1,1,19,6,12,5,11,6,11,6,11,1
10,0,1,0,20,6,8,4,11,6,15,3,10,0
2,0,1,0,20,0,0,0,0,0,0,0,0,0
16,0,1,0,18,6,6,6,13,6,6,6,13,1
6,0,1,0,20,5,7,4,12,5,5,5,13,1
17,0,0,0,38,5,6,5,10,5,9,2,11,0
3,0,1,0,42,6,8,5,11,6,6,6,12,1
12,0,1,0,32,7,0,0,0,8,0,0,0,0
15,0,1,0,22,6,6,6,13,6,6,6,13,1
17,0,1,0,28,5,10,0,0,5,5,0,0,0
3,0,1,0,37,6,0,0,0,6,0,0,0,0
4,0,1,0,43,6,8,6,14,6,9,6,15,1
3,0,1,1,41,6,10,5,12,6,6,6,12,1
3,0,1,1,29,6,11,4,11,6,9,5,10,1
3,0,1,1,35,6,8,6,10,6,7,6,11,1
10,0,1,0,18,6,8,4,11,6,8,4,12,0
12,0,0,1,39,7,14,3,11,7,9,2,10,0
17,0,1,0,37,5,14,2,10,5,7,3,11,0
12,0,1,1,26,7,7,6,13,7,7,6,13,1
6,0,1,0,32,5,8,1,14,5,12,0,0,0
3,1,1,0,37,8,12,7,11,7,10,6,12,0
6,1,1,0,28,6,17,0,0,6,6,0,0,0
10,0,1,0,19,6,10,0,0,6,0,0,0,0
9,0,1,0,18,5,9,1,11,5,9,2,12,0
16,0,1,1,19,7,10,6,13,7,7,7,13,1
14,0,1,0,32,11,15,8,13,8,10,8,15,1
9,0,1,0,31,5,8,3,11,5,9,2,11,0
12,0,1,0,34,8,11,7,11,8,11,7,11,0
2,0,1,0,20,12,12,12,13,11,14,11,14,1
12,0,1,0,28,7,15,1,10,7,10,1,10,0
17,0,1,0,31,6,8,6,12,7,8,7,13,0
15,0,1,0,18,6,7,6,12,6,8,4,12,0
3,0,0,0,31,6,8,5,11,6,9,3,11,0
15,0,1,0,19,6,6,6,13,6,8,5,12,1
10,0,1,1,19,6,8,6,14,6,8,6,12,1
10,0,1,0,31,6,11,0,0,5,10,0,0,0
6,0,1,0,34,6,0,0,0,6,0,0,0,0
13,0,1,1,18,7,7,7,15,8,8,8,16,1
11,0,1,0,18,6,6,6,13,6,6,6,12,1
9,1,1,0,19,5,7,5,13,5,11,5,12,1
15,0,0,1,22,4,8,0,0,4,8,0,0,0
14,0,1,0,32,10,12,10,11,9,9,4,11,1
9,0,1,0,61,5,0,0,0,5,0,0,0,0
17,0,1,0,30,5,7,5,11,5,5,5,11,1
17,1,0,0,45,5,9,0,0,5,11,0,0,0
4,0,1,0,20,6,7,6,13,6,6,6,12,1
12,0,1,0,19,7,0,0,0,8,0,0,0,0
7,0,1,0,26,10,14,4,11,11,11,4,12,0
14,0,1,0,19,5,6,3,13,5,5,1,11,0
15,0,1,1,19,6,6,6,12,6,7,6,11,1
15,0,1,0,19,6,6,6,12,6,7,5,13,1
9,0,1,1,19,5,6,5,13,5,6,5,12,1
14,0,0,0,19,5,5,0,0,4,4,0,0,0
14,0,0,0,28,5,7,3,11,5,8,2,11,0
9,0,1,0,24,15,16,15,13,14,14,14,13,1
8,0,1,0,18,5,7,3,13,5,5,5,13,1
7,0,1,0,18,5,9,2,11,5,9,2,12,0
15,0,1,1,18,6,7,6,11,6,12,5,10,1
4,0,1,0,21,6,9,5,13,6,9,5,12,1
17,0,0,0,28,5,5,0,0,5,6,0,0,0
4,0,1,0,58,6,9,0,0,6,6,0,0,0
17,0,0,0,49,5,5,0,0,5,5,0,0,0
7,0,1,0,24,5,6,3,10,5,9,2,10,0
14,0,1,0,25,5,5,4,13,5,5,4,14,1
9,0,1,0,33,5,5,1,10,5,5,0,0,0
7,0,0,0,33,5,11,0,0,5,5,0,0,0
16,0,1,0,40,2,4,1,16,4,5,4,15,1
17,0,1,0,48,5,9,5,12,5,8,5,11,1
7,1,0,0,18,5,10,3,12,5,8,3,10,0
12,0,1,0,24,7,7,6,12,7,7,6,12,1
6,0,1,1,23,5,6,5,11,5,7,4,13,1
17,1,0,0,39,5,6,5,10,5,7,5,14,0
4,0,1,0,21,11,16,9,11,9,14,8,12,1
7,0,1,0,34,6,8,4,11,5,8,2,10,0
17,0,1,1,41,5,9,4,11,5,6,5,11,0
